,cast_id,elenco,type
0,0,Ama Qamata,actor
1,1,Khosi Ngema,actor
2,2,Gail Mabalane,actor
3,3,Thabang Molaba,actor
4,4,Dillon Windvogel,actor
5,5,Natasha Thahane,actor
6,6,Arno Greeff,actor
7,7,Xolile Tshabalala,actor
8,8,Getmore Sithole,actor
9,9,Cindy Mahlangu,actor
10,10,Ryle De Morny,actor
11,11,Greteli Fincham,actor
12,12,Sello Maake Ka-Ncube,actor
13,13,Odwa Gwanya,actor
14,14,Mekaila Mathys,actor
15,15,Sandi Schultz,actor
16,16,Duane Williams,actor
17,17,Shamilla Miller,actor
18,18,Patrick Mofokeng,actor
19,19,Sami Bouajila,actor
20,20,Tracy Gotoas,actor
21,21,Samuel Jouy,actor
22,22,Nabiha Akkari,actor
23,23,Sofia Lesaffre,actor
24,24,Salim Kechiouche,actor
25,25,Noureddine Farihi,actor
26,26,Geert Van Rampelberg,actor
27,27,Bakary Diombera,actor
28,28,Mayur More,actor
29,29,Jitendra Kumar,actor
30,30,Ranjan Raj,actor
31,31,Alam Khan,actor
32,32,Ahsaas Channa,actor
33,33,Revathi Pillai,actor
34,34,Urvi Singh,actor
35,35,Arun Kumar,actor
36,36,Kate Siegel,actor
37,37,Zach Gilford,actor
38,38,Hamish Linklater,actor
39,39,Henry Thomas,actor
40,40,Kristin Lehman,actor
41,41,Samantha Sloyan,actor
42,42,Igby Rigney,actor
43,43,Rahul Kohli,actor
44,44,Annarah Cymone,actor
45,45,Annabeth Gish,actor
46,46,Alex Essoe,actor
47,47,Rahul Abburi,actor
48,48,Matt Biedel,actor
49,49,Michael Trucco,actor
50,50,Crystal Balint,actor
51,51,Louis Oliver,actor
52,52,Vanessa Hudgens,actor
53,53,Kimiko Glenn,actor
54,54,James Marsden,actor
55,55,Sofia Carson,actor
56,56,Liza Koshy,actor
57,57,Ken Jeong,actor
58,58,Elizabeth Perkins,actor
59,59,Jane Krakowski,actor
60,60,Michael McKean,actor
61,61,Phil LaMarr,actor
62,62,Kofi Ghanaba,actor
63,63,Oyafunmike Ogunlano,actor
64,64,Alexandra Duah,actor
65,65,Nick Medley,actor
66,66,Mutabaruka,actor
67,67,Afemo Omilami,actor
68,68,Reggie Carter,actor
69,69,Mzuri,actor
70,70,Mel Giedroyc,actor
71,71,Sue Perkins,actor
72,72,Mary Berry,actor
73,73,Paul Hollywood,actor
74,74,Melissa McCarthy,actor
75,75,Chris O'Dowd,actor
76,76,Kevin Kline,actor
77,77,Timothy Olyphant,actor
78,78,Daveed Diggs,actor
79,79,Skyler Gisondo,actor
80,80,Laura Harrier,actor
81,81,Rosalind Chao,actor
82,82,Kimberly Quinn,actor
83,83,Loretta Devine,actor
84,84,Ravi Kapoor,actor
85,85,Sukollawat Kanarot,actor
86,86,Sushar Manaying,actor
87,87,Pavarit Mongkolpisit,actor
88,88,Sahajak Boonthanakit,actor
89,89,Suthipongse Thatphithakkul,actor
90,90,Bhasaworn Bawronkirati,actor
91,91,Daweerit Chullasapya,actor
92,92,Waratthaya Wongchayaporn,actor
93,93,Kittiphoom Wongpentak,actor
94,94,Abhicha Thanachanun,actor
95,95,Nophand Boonyai,actor
96,96,Kittipong Khamsat,actor
97,97,Arisara Wongchalee,actor
98,98,Jaytiya Naiwattanakul,actor
99,99,Pantipa Arunwattanachai,actor
100,100,Panupan Jantanawong,actor
101,101,Kungtap Saelim,actor
102,102,Phumphat Chartsuriyakiat,actor
103,103,Issara Veranitinunt,actor
104,104,Keerati Sivakuae,actor
105,105,Panjai Sirisuwan,actor
106,106,Supranee Charoenpol,actor
107,107,Suda Chuenban,actor
108,108,Visaka Banhansupavat,actor
109,109,Pitchatorn Santinatornkul,actor
110,110,Luna Wedler,actor
111,111,Jannis NiewÃ¶hner,actor
112,112,Milan Peschel,actor
113,113,Edin HasanoviÄ,actor
114,114,Anna FialovÃ¡,actor
115,115,Marlon Boess,actor
116,116,Victor Boccard,actor
117,117,Fleur Geffrier,actor
118,118,Aziz Dyab,actor
119,119,MÃ©lanie FouchÃ©,actor
120,120,Elizaveta MaximovÃ¡,actor
121,121,Klara Castanho,actor
122,122,Lucca Picon,actor
123,123,JÃºlia Gomes,actor
124,124,Marcus Bessa,actor
125,125,Kiria Malheiros,actor
126,126,Fernanda Concon,actor
127,127,Gabriel Lima,actor
128,128,Caio Cabral,actor
129,129,Leonardo Cidade,actor
130,130,Jade Cardozo,actor
131,131,Logan Browning,actor
132,132,Brandon P. Bell,actor
133,133,DeRon Horton,actor
134,134,Antoinette Robertson,actor
135,135,John Patrick Amedori,actor
