,country_id,country
0,0,United States
1,1,South Africa
2,2,India
3,3,Ghana
4,4,Burkina Faso
5,5,United Kingdom
6,6,Germany
7,7,Ethiopia
8,8,Czech Republic
9,9,Mexico
10,10,Turkey
11,11,Australia
12,12,France
13,13,Finland
14,14,China
15,15,Canada
16,16,Japan
17,17,Nigeria
18,18,Spain
19,19,Belgium
20,20,South Korea
21,21,Singapore
22,22,Italy
23,23,Romania
24,24,Argentina
25,25,Venezuela
26,26,Hong Kong
27,27,Russia
28,28,Ireland
29,29,Nepal
30,30,New Zealand
31,31,Brazil
32,32,Greece
33,33,Jordan
34,34,Colombia
35,35,Switzerland
36,36,Israel
37,37,Taiwan
38,38,Bulgaria
39,39,Algeria
40,40,Poland
41,41,Saudi Arabia
42,42,Thailand
43,43,Indonesia
44,44,Egypt
45,45,Denmark
46,46,Kuwait
47,47,Netherlands
48,48,Malaysia
49,49,Vietnam
50,50,Hungary
51,51,Sweden
52,52,Lebanon
53,53,Syria
54,54,Philippines
55,55,Iceland
56,56,United Arab Emirates
57,57,Norway
58,58,Qatar
59,59,Mauritius
60,60,Austria
61,61,Cameroon
62,62,Palestine
63,63,Uruguay
64,64,Kenya
65,65,Chile
66,66,Luxembourg
67,67,Cambodia
68,68,Bangladesh
69,69,Portugal
70,70,Cayman Islands
71,71,Senegal
72,72,Serbia
73,73,Malta
74,74,Namibia
75,75,Angola
76,76,Peru
77,77,Mozambique
78,78,Belarus
79,79,Zimbabwe
80,80,Puerto Rico
81,81,Pakistan
82,82,Cyprus
83,83,Guatemala
84,84,Iraq
85,85,Malawi
86,86,Paraguay
87,87,Croatia
88,88,Iran
89,89,West Germany
90,90,Albania
91,91,Georgia
92,92,Soviet Union
93,93,Morocco
94,94,Slovakia
95,95,Ukraine
96,96,Bermuda
97,97,Ecuador
98,98,Armenia
99,99,Mongolia
100,100,Bahamas
101,101,Sri Lanka
102,102,Latvia
103,103,Liechtenstein
104,104,Cuba
105,105,Nicaragua
106,106,Slovenia
107,107,Dominican Republic
108,108,Samoa
109,109,Azerbaijan
110,110,Botswana
111,111,Vatican City
112,112,Jamaica
113,113,Kazakhstan
114,114,Lithuania
115,115,Afghanistan
116,116,Somalia
117,117,Sudan
118,118,Panama
119,119,Uganda
120,120,East Germany
121,121,Montenegro
